date,general_cpi,food_beverages_cpi,clothing_cpi,housing_utilities_cpi,transport_cpi
2013-12-31,84.73280166995947,76.8225535391076,112.3736433812655,94.2710712648992,73.1381596647157
2014-12-30,86.28781756661039,77.80472179972325,112.71407773270259,98.15583359267698,73.50519225028522
2015-12-31,87.30942295250038,78.22103661759787,114.17469247100699,100.39625162485612,73.89392577056752
2016-12-31,89.85586892160501,77.09515299354203,114.71731329123406,109.24053906961832,77.94146023175264
2017-12-31,89.08347856289267,76.29294767085601,112.44572010624576,107.73105318215057,77.2419222743785
2018-12-30,91.28678934766971,80.72687564287962,101.09784416495758,104.56171808784767,83.19541544350092
2019-12-31,89.42756458113577,82.5384998401359,100.36530331983225,94.1491253688831,83.28099701149166
2020-12-31,92.27741518646648,89.56154033234178,102.94407710667407,93.55623774160226,84.5938477594404
2021-12-31,95.16565864244212,94.33431219912633,105.047539532778,91.45529748214496,94.1879740985487
2022-12-31,97.58682836825437,98.3471866770588,103.75215114739582,92.9422795160475,98.36347310528515
2023-12-31,100.00103647943666,100.00148906432061,100.00911844688834,100.01289781228162,100.00225805007062
2024-12-31,101.50203261979432,100.7151060008823,96.75785509828484,106.49280152695319,100.2166175164921
2025-01-01,103.56822926289176,101.82503921413927,96.72990929456785,112.97567041478057,100.66312829177576
2013-01-31,84.6344182942838,76.3555736906725,112.041793968782,93.742545046853,73.3619010035404
2013-02-28,84.4431725844894,76.1587360730896,111.978490271421,93.773731370183,73.2326270363822
2013-03-31,84.4317565338258,76.2191414493178,111.948047165816,93.784118864407,73.2396099254702
2013-04-30,84.4531422433047,76.4562517480161,111.795382375727,93.784792269391,73.3495735950364
2013-05-31,84.442363072744,76.4772939023706,111.964722832821,93.7846448348051,73.1124581990572
2013-06-30,84.4590723087948,76.5055945921678,112.399576166563,93.784358082658,73.0309729573995
2013-07-31,84.837575569809,77.0108668997245,112.508259808847,94.6626183693659,73.3015950156874
2013-08-31,84.7892598240037,77.0800106340656,112.830728511854,94.3650430914018,73.0978240818657
2013-09-30,84.8962421596762,77.6160511823843,112.741337664984,94.4494687713197,72.7673785444971
2013-10-31,85.0003627633846,77.4134329006548,112.809560974347,94.5549652419956,72.8754712168157
2013-11-30,85.1576315709877,77.407210762438,112.828789589154,94.926143783556,73.1982932554855
2013-12-31,85.2486231142099,77.1704786343897,112.63703124487,95.6404254528543,73.0902111453509
2014-01-31,85.5834275652062,77.4100643982182,112.279134654508,96.6578228393623,73.1665711441587
2014-02-28,85.7178011196357,77.2837979463991,112.40447205534,97.238311175114,73.4300940140455
2014-03-31,85.740227494861,77.097207723515,112.314129243037,97.7853088023846,73.2345130633719
2014-04-30,86.1220537646568,77.6361612273309,112.398090137131,98.2113058833513,73.2034374411962
2014-05-31,86.1362040114623,77.4693354547976,111.959674994178,98.8233680991477,73.0905311395466
2014-06-30,86.1995252124968,77.3883793465631,112.261078097985,98.4610460990084,73.4246087395528
2014-07-31,86.4577248371029,77.8508217313162,112.824651327336,98.5481937949169,73.7407708467286
2014-08-31,86.5530657403933,77.9201641686102,112.802218706247,98.0824613972345,73.8852990878247
2014-09-30,86.6019836951899,78.4176636849424,113.116046187927,98.0904022701998,73.833658497354
