date,reserves_to_deposits_pct,private_claims_to_deposits_pct,govt_claims_to_deposits_pct,foreign_assets_to_deposits_pct,foreign_assets_to_total_assets_pct
1995-12-31,5.626136985021978,60.97836022719495,32.0252996417028,49.31043903302079,28.71714936779391
1996-12-31,5.205683584208231,57.387514708705226,34.052777267149565,49.316662557770826,29.66115625566983
1997-12-31,5.537341909232785,58.96289014660303,42.68939609758945,43.892097481040594,26.06545213642253
1998-12-31,5.277643320326329,67.43480224896118,45.92330179455288,36.074817626571146,21.257104984517706
1999-12-31,6.6078213826546826,64.77600808931415,45.66010092903614,36.53851584699787,22.03301855494552
2000-12-31,7.046563954515303,64.27516293885179,45.71454926205654,37.767041420764016,22.327481126190175
2001-12-31,6.576263257780171,64.33196097132695,45.62227589069499,34.171608992118315,21.032484684721766
2002-12-31,8.477432450637396,60.91803880979363,42.47543340573571,28.26151816307782,18.78843512189458
2003-12-31,7.372440250337081,63.17671518181982,48.7725314028184,22.419244819786552,14.871747617164177
2004-12-31,7.355423337922986,72.0787160920709,40.30159823148177,21.306735267816105,14.159414840239098
2005-12-31,6.675204884669596,89.13545671128891,32.46299964956235,18.695018940369255,12.044895037046647
2006-12-31,8.809756293097657,80.55239509414591,25.228476828543627,21.964151686588373,15.073461004838142
2007-12-31,15.13648009132122,80.5338734924921,22.975678476763772,20.585217915426803,13.737837295090701
2008-12-31,11.484341007167982,86.81494869524603,14.508830213893798,18.199167542055612,11.824453443845812
2009-12-31,17.023879993080207,78.06476142860606,11.03893331680964,22.42503631631175,15.392598378104394
2010-12-31,16.1763358946792,78.76892675134273,9.564896720956712,19.609746660045506,13.645945409275223
2011-12-31,16.383670369400722,77.09822474371873,7.115031274510053,19.778918211585445,14.117404833413161
2012-12-31,17.482368201792493,79.02371343681426,6.456856348558141,17.421105618804834,12.620961213247941
2013-12-31,14.50885924897159,79.91788132941845,6.636935672964943,15.623134387017911,11.527183762077474
2014-12-31,13.781437612666458,79.99809815140618,6.255583327263336,16.22817124374702,11.917714056149842
2015-12-31,9.150589826100575,85.63890452638941,7.738825042082237,19.950264025859983,14.445903998054547
2016-12-31,14.724559701620658,87.02181658398366,14.346038126213834,14.350909280758994,10.21543897399502
2017-12-31,14.897432139370775,86.04426202525049,18.88208604593224,16.05045654606744,11.149987100004727
2018-12-31,13.316642042223073,86.36037393273023,21.44706756992532,13.853024783230754,9.667139175997928
2019-12-31,13.328400642315305,86.11006904019139,24.795291783349054,13.565266999262002,9.259501463409627
2020-12-31,14.831682694471048,90.70792629292767,26.63570330284343,12.870114693393855,8.392471683889852
2021-12-31,9.768260834610357,96.65619922738475,27.36207955426139,12.144352076475144,7.796958359530913
2022-12-31,8.818348944918498,99.74620188066523,27.801612679892557,12.498434495028189,7.92305652787252
2023-12-31,8.314883076881246,101.83258074790989,27.77560449646505,12.839552259754317,8.025752200936207
2024-12-31,8.071234321702562,106.05272102379715,29.527526893478594,13.987945807107884,8.379986715400685
2025-12-31,7.522373515225119,107.57422943555997,31.09769836200141,14.28732452696036,8.431049282933813
1993-01-31,6.3252419434400045,48.43830256417881,28.72353420571061,58.675593757078346,35.958536698769976
1993-02-28,6.232875833016783,51.4607383294298,28.622683979518083,61.382919903014574,35.64092605923767
1993-03-31,6.4001994341337465,50.040119660480244,29.1225545767618,61.9415078847671,36.12582084395593
1993-04-30,6.172165338795634,51.28834943283037,30.059343446937493,61.083109206470546,36.22041494574255
1993-05-31,6.649507806829201,52.213531763192556,29.161443877057902,62.88409293354583,36.66321122209439
1993-06-30,5.979129855262778,51.37588310450487,29.162804973100094,62.542289401312125,36.65053252430132
1993-07-31,6.382569108654882,51.69057433423083,31.07702200197226,59.464784434541166,35.34327991308286
