date,monetary_gold_mn_sar,sdr_mn_sar,imf_reserve_position_mn_sar,foreign_currency_deposits_mn_sar,foreign_securities_mn_sar,total_reserves_mn_sar
2001-12-31,756.0,906.0970156030123,9592.897214674123,106583.90298439699,73557.0,191395.89721467413
2002-12-31,756.0,1243.401552951,13364.5105353576,111742.598447049,43716.0,170822.51053535758
2003-12-31,756.0,1614.6187870536373,16977.851614886025,124365.38121294636,97035.0,240748.85161488602
2004-12-31,756.0,1945.5889490259751,13121.349123330338,129104.41105097403,197338.0,342265.3491233303
2005-12-31,756.0,2062.5,7147.5,200886.5,369973.0,580825.5
2006-12-31,756.0,2400.0,3420.0,214509.0,625667.0,846752.0
2007-12-31,756.0,2703.75,2741.25,349386.25,790559.0,1146146.25
2008-12-31,1624.0,2756.25,5190.0,496172.75,1154247.0,1659990.0
2009-12-31,1624.0,40980.0,7564.0,416196.0,1071542.0,1537906.0
2010-12-31,1624.0,39921.975000000006,7430.3025,438370.025,1181916.0,1669262.3025
2011-12-31,1624.0,38600.2875,18233.291250000002,556608.9,1424988.8,2040055.27875
2012-12-31,1624.0,36973.725,21110.7075,737281.7,1665161.9,2462152.0324999997
2013-12-31,1623.5026203900002,36172.320139725,19353.839510775,716613.68908723,1947704.4963771398,2721467.8477352597
2014-12-31,1623.5026203900002,34044.6,14703.3,702295.70742678,1993656.9458590401,2746324.05590621
2015-12-31,1623.5026203900002,33766.73,11230.16,763905.5706119599,1501041.48956548,2311567.45279783
2016-12-31,1623.5026203900002,27600.59,7276.93,613767.9719594299,1358970.34940399,2009239.34398381
2017-01-01,1623.50262039,29312.72,5775.76,585222.22503598,1239653.45106874,1861587.65872511
2018-01-02,1623.50262039,30333.3881,6189.99,625756.83080877,1198305.25379785,1862208.96532701
2019-01-01,1623.50247581,31437.8618264398,9429.72095727807,637185.24429983,1193734.22619669,1873410.55575605
2020-01-01,1623.50247581,31509.6243793474,13656.9968191304,545431.8529631,1108986.94520085,1701208.92183824
2021-01-02,1623.54231183,80782.5669931112,14618.9336234076,494048.76664738,1116565.04854785,1707638.81828756
2022-01-02,1623.54231183,77306.27308987819,14710.14009037212,516695.23586594994,1114104.832567383,1724439.9840893932
2023-01-02,1623.54231183,78423.56079087798,13856.09871057318,558754.4044821399,985747.345719517,1638404.912178918
2024-01-02,1623.54231183,76977.0053531094,12165.9057077448,532724.68132975,1016078.0804137352,1639569.1752801496
2025-01-03,1623.54231183,80479.4595175969,12947.83854819927,619058.9659014599,1011748.3056379108,1725858.0720809768
2001-01-31,756.0,713.29725123345,5074.438253369549,129079.70274876655,57056.0,192679.43825336953
2001-02-28,756.0,762.1516614432,6105.4314286896,128418.8483385568,57440.0,193482.4314286896
2001-03-31,756.0,743.3820964335,5955.07251994425,132889.6179035665,53106.0,193450.07251994425
2001-04-30,756.0,746.3091305359125,5979.3529092295485,134557.69086946407,48883.0,190922.35290922952
2001-05-31,756.0,792.1787434249874,6559.229244236624,133409.821256575,50599.0,192116.2292442366
2001-06-30,756.0,786.7595670230625,6850.6840418480615,133318.24043297695,50396.0,192107.6840418481
2001-07-31,756.0,795.027284867025,6922.674933437024,128072.97271513297,57118.0,193664.67493343703
2001-08-31,756.0,869.1778581906375,7737.027115242487,120792.82214180936,64778.0,194933.0271152425
2001-09-30,756.0,869.7041296867126,10231.112307932663,119012.29587031329,65067.0,195936.11230793266
2001-10-31,756.0,862.3295816712,10144.358863408801,120065.6704183288,63075.0,194903.3588634088
2001-11-30,756.0,912.8383260642,10049.1126297138,111663.1616739358,69935.0,193316.11262971378
2001-12-31,756.0,906.0970156030123,9592.897214674123,106583.90298439699,73557.0,191395.89721467413
2002-01-31,756.0,895.50558772335,9436.9390476705,98373.49441227665,72922.0,182383.93904767052
2002-02-28,756.0,946.908710206875,11680.974755995836,97598.09128979313,70327.0,181308.97475599585
2002-03-31,756.0,950.9354154168749,11676.847993987049,92798.36458458312,70205.4,176387.54799398704
2002-04-30,756.0,966.6937215357748,11017.324391779237,85454.30627846422,72352.0,170546.32439177923
2002-05-31,756.0,1046.525051207475,11305.783768574924,84360.47494879253,72107.0,169575.78376857494
2002-06-30,756.0,1078.796677381725,11650.549518495374,88379.20332261827,63419.0,165283.54951849536
2002-07-31,756.0,1072.3261352493003,12008.533997605502,90160.6738647507,58581.0,162578.5339976055
2002-08-31,756.0,1145.4634228738498,12730.3669048551,92365.53657712616,54370.0,161367.36690485512
2002-09-30,756.0,1141.3044081031499,13056.1513157469,86587.99559189685,53754.0,155295.4513157469
2002-10-31,756.0,1140.3897700000502,13036.3954423188,98783.61022999995,49548.0,163264.3954423188
2002-11-30,756.0,1210.9885314164997,13056.494530475698,106253.0114685835,46902.0,168178.4945304757
2002-12-31,756.0,1243.401552951,13364.5105353576,111742.598447049,43716.0,170822.51053535758
2003-01-31,756.0,1258.967851667625,13458.0029667402,115540.03214833238,43519.0,174532.0029667402
2003-02-28,756.0,1317.2022701881872,13375.982182445998,118973.7977298118,44421.0,178843.982182446
2003-03-31,756.0,1320.0272143282125,14192.881048716976,136999.9727856718,37283.0,190551.88104871698
2003-04-30,756.0,1329.6754233943125,14297.432658652275,147452.3245766057,37814.0,201649.43265865228
2003-05-31,756.0,1423.210890325875,14669.768634537188,126735.78910967412,61425.0,205009.76863453718
2003-06-30,756.0,1404.07705047495,16153.578279360376,111076.42294952505,76547.0,205937.07827936037
2003-07-31,756.0,1395.146588815875,15778.252448508374,103878.75341118412,89786.0,211594.15244850836
2003-08-31,756.0,1437.9860923210124,15243.971960567362,106100.013907679,91588.0,215125.97196056737
2003-09-30,756.0,1492.8214038929623,16349.22312126191,112881.17859610704,91601.0,223080.22312126192
2003-10-31,756.0,1494.8991318066749,16371.978179005575,111593.10086819333,99354.0,229569.9781790056
2003-11-30,756.0,1574.209039420425,16566.36811952932,123039.79096057957,97744.0,239680.36811952933
2003-12-31,756.0,1614.6187870536373,16977.851614886025,124365.38121294636,97035.0,240748.85161488602
2004-01-31,756.0,1609.5553446236624,15899.050832936062,130249.44465537634,96048.0,244562.05083293607
2004-02-29,756.0,1672.7280052219874,15264.3995074962,139315.271994778,97616.0,254624.39950749621
2004-03-31,756.0,1673.2252792173374,14128.5301147866,144389.77472078268,96694.0,257641.5301147866
2004-04-30,756.0,1640.7425206680373,13854.836425657799,136773.25747933195,104713.0,257737.8364256578
2004-05-31,756.0,1715.451286555425,14016.9722617212,144793.5487134446,110308.0,271589.9722617212
2004-06-30,756.0,1712.414717510175,13666.496093809652,156927.58528248983,92876.0,265938.49609380966
2004-07-31,756.0,1702.5341890013997,13587.6412446372,168948.4658109986,100244.0,285238.6412446372
2004-08-31,756.0,1765.879173787725,13461.491203685886,173890.12082621228,106326.0,296199.4912036859
2004-09-30,756.0,1775.864702924175,12864.722758912161,180626.13529707582,106983.0,303005.72275891213
2004-10-31,756.0,1811.87788851435,13125.609552551325,186121.12211148566,131846.0,333660.6095525513
2004-11-30,756.0,1924.1537831752498,13450.689034924126,154021.84621682475,173493.0,343645.68903492414
2004-12-31,756.0,1945.5889490259751,13121.349123330338,129104.41105097403,197338.0,342265.3491233303
2005-01-31,756.0,1908.75,12885.0,150187.25,202152.0,367889.0
2005-02-28,756.0,1991.25,12836.25,131857.75,220959.0,368400.25
2005-03-31,756.0,1965.0,12506.25,128600.0,232853.0,376680.25
2005-04-30,756.0,1972.5,11561.25,135127.5,237078.0,386495.25
2005-05-31,756.0,1987.5,11242.5,170502.5,237979.0,422467.5
2005-06-30,756.0,1965.0,10057.5,177935.0,233915.0,424628.5
2005-07-31,756.0,1957.5,10023.75,186332.5,256880.0,455949.75
2005-08-31,756.0,2036.25,10080.0,190120.75,268528.0,471521.0
2005-09-30,756.0,2021.25,9956.25,201822.75,270777.0,485333.25
2005-10-31,756.0,2017.5,9918.75,198103.5,303033.0,513828.75
2005-11-30,756.0,2055.0,8531.25,214891.0,328655.0,554888.25
2005-12-31,756.0,2062.5,7147.5,200886.5,369973.0,580825.5
2006-01-31,756.0,2085.0,6960.0,188028.0,405455.0,603284.0
2006-02-28,756.0,2133.75,6420.0,178118.25,432001.0,619429.0
2006-03-31,756.0,2141.25,5302.5,198530.75,459123.0,665853.5
2006-04-30,756.0,2186.25,5403.75,171153.75,491813.0,671312.75
2006-05-31,756.0,2276.25,4991.25,190347.75,505165.0,703536.25
2006-06-30,756.0,2253.75,4942.5,172392.25,501748.0,682092.5
2006-07-31,756.0,2261.775,4950.9,177082.225,547642.0,732692.9
2006-08-31,756.0,2321.025,4834.912499999999,192135.975,562423.0,762470.9125
2006-09-30,756.0,2302.5,4796.25,221660.5,559381.0,788896.25
2006-10-31,756.0,2306.25,3870.0,220772.75,585895.0,813600.0
