date,sar_1m,sar_3m,sar_6m,sar_12m,usd_1m,usd_3m
2007-12-31,4.86619833333333,4.905105,4.92297,4.94192833333333,5.24964666666667,5.29704666666667
2008-12-31,3.14734487323633,3.28457917336521,3.53741789953873,3.75625756957163,2.66521333333333,2.91061916666667
2009-12-31,0.541827329059829,0.911300286087369,1.2149063960114,1.52217389007597,0.334985580455173,0.647365632505176
2010-12-31,0.337228723076923,0.735862703846154,0.889397868281102,1.07630956282051,0.275002767010164,0.33787172842556
2011-12-31,0.3696414108835,0.694466619183286,0.768304880818779,0.969174844479541,0.235148751199887,0.285547070675701
2012-12-31,0.600849006410257,0.91631625,0.969683621794872,1.10972775641026,0.23626516778813,0.364238947118702
2013-12-31,0.635164180663942,0.953235796901451,0.984773457889467,1.08830040485389,0.188565822510823,0.266075258838384
2014-12-31,0.630437433769934,0.935765467171717,0.97373154965405,1.07282616503866,0.154969597645712,0.231783238126608
2015-12-31,0.627508333333333,0.879691666666667,0.948258333333333,1.086175,0.200666666666667,0.3155
2016-12-31,1.81601336034844,2.06617265065053,2.16300778306552,2.33342745727265,0.486228564574314,0.728344410533911
2017-12-31,1.44631401603379,1.81166836013473,2.041379697303,2.23475533533119,1.11281825825227,1.26269991192614
2018-12-31,2.22797305900621,2.45098221187026,2.63203737060041,2.84485885955832,2.02168463404064,2.30892105982595
2019-12-31,2.5309435494580907,2.631845061096212,2.6827313338019176,2.785901897376325,2.225694378071332,2.3293273381159585
2020-12-31,1.0197247688018876,1.1922916801841124,1.2304424217634717,1.2758391292681428,0.513117996406887,0.6527936773263026
2021-12-31,0.6478983405044803,0.8099914578691756,0.8592404221129033,0.9317045968360217,0.09920737290399376,0.16205076276318484
2022-12-31,2.4509885038617507,3.1254128924010476,3.3522409909517408,3.6839012290330264,1.8978276481162313,2.381730944420762
2023-12-31,5.563238891551734,5.930440041988725,5.913608994104087,5.9443040902873205,5.084264905195459,5.262105592498513
2024-12-31,5.741443803891197,6.019712269887564,5.845295363765384,5.6548485123052314,5.114783357671841,5.0548578651835925
2025-12-31,5.452538661162314,5.305789713325654,5.422006887736816,5.113914303699435,4.2076402572324625,4.151945224654379
2007-01-31,4.87,4.96813,5.04313,5.09063,5.32003,5.36001
2007-02-28,5.16063,5.24125,5.28625,5.31125,5.32,5.35941
2007-03-31,4.9925,5.05125,5.08,5.11125,5.31996,5.34715
2007-04-30,5.0025,5.05063,5.0925,5.1425,5.32,5.35476
2007-05-31,5.0,5.045,5.085,5.1375,5.32,5.35891
2007-06-30,5.00125,5.03875,5.08313,5.15,5.32,5.36
2007-07-31,5.0,5.03,5.04,5.06375,5.32,5.35966
2007-08-31,5.00125,5.03375,5.04188,5.05163,5.4973,5.48271
2007-09-30,5.085,5.09,5.07625,5.02625,5.49266,5.49394
2007-10-31,4.9875,4.9975,4.975,4.97,4.98141,5.14652
2007-11-30,4.2775,4.28,4.26375,4.24375,4.76716,4.96208
2007-12-31,4.01625,4.035,4.00875,4.00463,5.01724,4.97941
2008-01-31,3.84657407407407,2.99609375,3.85551296296296,3.78338333333333,3.90909,3.91764
2008-02-29,3.00177083333333,2.99609375,2.96541666666667,2.90494791666667,3.13676,3.08759
2008-03-31,2.2675,2.26,2.265,2.255,2.80655,2.7825
2008-04-30,1.91924908424908,1.94684981684982,1.95432234432234,1.99891941391941,2.78541,2.79466
2008-05-31,2.22451923076923,2.33451923076923,2.41144230769231,2.53870192307692,2.50594,2.69238
2008-06-30,2.97692307692308,3.21168269230769,3.43259615384615,3.81432692307692,2.47039,2.76539
2008-07-31,3.42502333333333,3.71814814814815,4.03760666666667,4.41305555555556,2.46006,2.79234
2008-08-31,3.65857,4.01199538461538,4.33214,4.75420730769231,2.46816,2.80625
2008-09-30,3.96483192307692,4.32355769230769,4.68829346153846,5.19298115384615,2.92702,3.12168
2008-10-31,4.21677884615385,4.56918269230769,4.93211538461538,5.39480769230769,3.80962,4.05859
2008-11-30,3.55774423076923,3.90865384615385,4.19495192307692,4.39831730769231,1.621,2.27906
2008-12-31,2.70865384615385,3.13817307692308,3.37961692307692,3.62644230769231,1.08256,1.82935
2009-01-31,1.3925,1.77043269230769,2.02802884615385,2.37581730769231,0.383394285714286,1.21080523809524
2009-02-28,0.82663,1.151875,1.429375,1.79442307692308,0.4627825,1.242627
2009-03-31,0.812083333333333,1.14949074074074,1.44944444444445,1.8187962962963,0.53249,1.26674
2009-04-30,0.686587307692308,1.04223615384615,1.33959153846154,1.68442346153846,0.44997,1.10622
2009-05-31,0.547875384615385,0.886562692307692,1.19680653846154,1.512525,0.34402,0.644524285714286
2009-06-30,0.421058076923077,0.740515,1.07086653846154,1.36913269230769,0.316195,0.457824545454545
2009-07-31,0.3,0.647410384615385,0.985270384615385,1.27039538461538,0.29071,0.51533
2009-08-31,0.3,0.645242307692308,0.979831923076924,1.25296115384615,0.269843809523809,0.308097619047619
2009-09-30,0.3,0.649903846153846,0.98277,1.25,0.247296818181818,0.258916818181818
2009-10-31,0.3,0.715384615384615,1.02360692307692,1.28796653846154,0.244331363636364,0.254023636363636
2009-11-30,0.3,0.768664230769231,1.04655807692308,1.32993384615385,0.237826666666667,0.249317142857143
2009-12-31,0.315193846153846,0.767885769230769,1.04672653846154,1.31971192307692,0.24096652173913,0.253961304347826
2010-01-31,0.321611538461539,0.771957307692308,1.05004807692308,1.32118346153846,0.2315975,0.2409395
2010-02-28,0.319951923076923,0.769822692307692,1.04190923076923,1.28492115384615,0.2290635,0.2397805
2010-03-31,0.320615769230769,0.739325,0.935956923076923,1.10476730769231,0.23731,0.26842
2010-04-30,0.3249756,0.7256904,0.8692256,1.0185452,0.25975,0.31161
2010-05-31,0.3354008,0.7267204,0.8549156,1.0053108,0.3362535,0.3944875
2010-06-30,0.33656,0.7260628,0.85,1.0210376,0.348736363636364,0.536898636363636
2010-07-31,0.348076923076923,0.725809230769231,0.850438076923077,1.02829807692308,0.334121363636364,0.510327727272727
2010-08-31,0.343419230769231,0.720120384615385,0.848736296296296,1.02449807692308,0.274731363636364,0.359561818181818
2010-09-30,0.3466252,0.72,0.8416,1.02135,0.256994545454545,0.291365909090909
2010-10-31,0.346765769230769,0.728602307692308,0.840746153846154,1.02356692307692,0.256057142857143,0.28884
2010-11-30,0.346765769230769,0.728602307692308,0.840746153846154,1.02356692307692,0.254192272727273,0.287120454545455
2010-12-31,0.355976153846154,0.747639615384616,0.848452307692308,1.03866923076923,0.281225652173913,0.325108695652174
2011-01-31,0.355250740740741,0.75,0.85,1.04929666666667,0.2606255,0.2827835
2011-02-28,0.35345375,0.75,0.85,1.05238666666667,0.262925,0.2873125
2011-03-31,0.357834074074074,0.75,0.85,1.05644703703704,0.282536956521739,0.316141304347826
