date,due_from_banks_abroad_mn_sar,due_from_branches_abroad_mn_sar,investments_abroad_mn_sar,other_assets_mn_sar,total_foreign_assets_mn_sar,due_to_foreign_banks_mn_sar,due_to_branches_abroad_mn_sar,due_to_others_mn_sar
1998-11-30,44029.009,5715.5019999999995,24896.097999999998,11937.030999999999,86577.64,17839.542,24909.802,5627.6230000000005
1998-12-31,42308.319,6760.705,24378.042,12496.599,85943.66500000001,14921.461999999998,23224.75,4958.763
1999-01-31,42678.178,5875.499,24473.263,13233.393000000002,86260.333,15863.631000000001,26397.011,4980.022
1999-02-28,43263.742999999995,6648.7480000000005,24029.413,13263.658,87205.56199999999,17806.962,22016.696,4493.696
1999-03-31,35829.719,6050.936,23688.356,13760.26,79329.271,20804.035,23750.5,4860.1
1999-04-30,37253.362,5994.406,23450.408,13952.244000000002,80650.42000000001,19956.09,23765.817,4738.923000000001
1999-05-31,36500.272000000004,6691.349999999999,24064.828,14262.216000000002,81518.66600000001,21996.584,21742.826,5202.192
1999-06-30,41993.899,6524.192999999999,23937.277000000002,14628.281999999997,87083.651,19152.842,22418.256,5881.271000000001
1999-07-31,37462.768000000004,6729.469,24209.332000000002,13746.177000000003,82147.74600000001,17778.965,20666.411,5374.378000000001
1999-08-31,33809.541,8055.259,25730.610999999997,13630.655999999999,81226.067,18119.229,21765.672,5563.783
1999-09-30,35074.623,9289.256,26962.595,13979.599000000002,85306.073,23148.881,20276.862999999998,6772.897999999999
1999-10-31,37596.767,8018.718,29292.350000000002,14269.094000000001,89176.929,22142.497,24292.354,7179.107
1999-11-30,40572.554,8062.223,31224.954000000005,14084.615,93944.346,25622.237,23255.686,5454.96
1999-12-31,38514.434,10129.706,29015.967,13827.085,91487.19200000001,23697.924,21741.408,5713.52
2000-01-31,36520.277,8357.757,29746.235999999997,15099.021,89723.291,22346.003999999997,20960.902000000002,6332.686
2000-02-29,36505.815,8112.662,31725.667999999998,16095.257000000001,92439.402,23877.204999999998,21933.81,6227.954
2000-03-31,42006.670999999995,7225.9710000000005,32665.22,16831.694,98729.556,28145.617,23452.432,5871.128000000001
2000-04-30,39238.621,6968.416,32621.302000000003,16616.36,95444.699,25273.863,22107.447,6484.034
2000-05-31,43441.965000000004,6982.704,32480.345,13782.31,96687.324,25627.774,20648.514000000003,8484.907
2000-06-30,45256.513999999996,6961.87,33007.629,12965.568000000001,98191.581,27601.591000000004,20548.366,9140.22
2000-07-31,44458.027,7040.402,33218.209,13135.82,97852.45800000001,26554.240999999998,24293.866,8838.043000000001
2000-08-31,43584.308000000005,7579.1410000000005,33298.401,13233.149,97694.99900000001,28064.476000000002,23945.617,9449.007
2000-09-30,42431.135,7394.023,33971.029,12648.671999999999,96444.859,28987.699,22515.61,9179.5
2000-10-31,43275.636,7665.519,34414.657,13343.198999999999,98699.011,28146.454999999998,24081.103,9466.095
2000-11-30,45534.427,7150.307,34881.059,12882.418,100448.21100000001,24367.561,30516.391,8922.527999999998
2000-12-31,42241.92800000001,7399.793000000001,38232.569,13329.995,101204.285,26865.107,28587.619,8991.037
2001-01-31,47085.257000000005,8901.934,28390.497999999992,12734.932999999999,97112.622,24705.216000000004,25537.56,8231.024
2001-02-28,47554.1,8811.516,27997.114999999998,13216.643000000002,97579.37399999998,25956.662,26949.103,6499.789
2001-03-31,47850.33900000001,8128.068,27956.332999999995,14783.408,98718.148,24392.873000000003,26054.541,4579.065
2001-04-30,48886.58500000001,7651.368,27067.082000000002,15764.543,99369.57800000001,20958.006999999998,27086.144999999997,4392.3060000000005
2001-05-31,48250.999,8161.9169999999995,27477.879,14997.93,98888.725,20456.905,26067.448,4833.513
2001-06-30,50484.467000000004,7936.146000000001,26701.25,14574.13,99695.993,22360.586999999996,28306.77,5201.42
2001-07-31,43471.834,7922.574,28461.223,16318.093,96173.724,22412.91,26879.198,4946.423
2001-08-31,43113.395000000004,7995.64,28645.387,18165.401,97919.823,22945.714999999997,27007.462,6367.532999999999
2001-09-30,43483.62299999999,8481.8,28252.027,19040.338,99257.788,23750.773,27439.672,5442.152
2001-10-31,45000.12200000001,8143.833,28598.017,19869.782,101611.75400000002,24913.618,27634.122000000003,5303.294
2001-11-30,47219.196,8932.92,29658.084000000003,18847.228,104657.428,25316.681,30562.516,5004.254000000001
2001-12-31,42310.898,8096.860999999999,31061.391000000003,17894.866,99364.016,26290.79,27763.299,5559.936
2002-01-31,38337.548,8081.382,32475.583,17614.045,96508.55799999999,22556.537,27223.299,5687.838
2002-02-28,39632.035,8265.530999999999,36228.123,17374.427,101500.11600000001,24676.534,28852.382,5584.211
2002-03-31,42816.087999999996,8578.901,36096.924999999996,16272.991999999998,103764.90599999999,28661.167,26306.336,5351.137000000001
2002-04-30,39379.488999999994,8411.697,37862.926999999996,17526.998,103181.11099999999,25954.986,27267.42,5479.493999999999
2002-05-31,39736.457,8693.559000000001,38507.797,17453.504,104391.31700000001,27206.458000000002,28635.869,4654.38
2002-06-30,36570.77,8435.341,40308.077,18302.255,103616.443,32080.855999999996,28269.46,4912.556999999999
2002-07-31,34614.886000000006,7343.873,40479.497,18790.078999999998,101228.335,29318.926,26571.362,5396.55
2002-08-31,36901.225000000006,7206.3859999999995,40516.498,18260.128,102884.237,27522.475000000002,27116.327,6148.406999999999
2002-09-30,38384.496,7084.9619999999995,40382.682,20138.031,105990.171,29765.291999999994,25143.117,4780.0830000000005
2002-10-31,31917.636,7268.561000000001,39242.131,19733.313000000002,98161.641,26825.546000000002,13606.951000000001,5126.794
2002-11-30,34159.844000000005,13335.737,35990.011999999995,18463.367,101948.96,30260.930999999997,11983.481,6537.23
2002-12-31,30454.133000000005,13157.217,34979.171,16899.314,95489.835,27643.971999999998,9412.015,5942.879
2003-01-31,29388.369000000002,12080.891,32100.456000000002,17078.879,90648.595,23783.687,8283.42,5894.19
2003-02-28,27409.918000000005,12552.04,36476.147,17465.427,93903.532,27587.056999999997,8717.48,5399.594
2003-03-31,27948.397000000004,13274.827,34819.829,20241.743,96284.796,26376.691,12394.918999999998,4433.888
2003-04-30,26034.758000000005,9901.350999999999,37353.777,16410.303,89700.18900000001,25685.018,9626.86,4314.105
2003-05-31,28084.53,10114.255000000001,35102.211,16614.876,89915.872,23902.894999999997,10316.249,4618.114
2003-06-30,24018.856000000007,9240.521,36414.48,16733.797000000002,86407.65400000001,22714.722,9669.695,4196.0650000000005
2003-07-31,23423.458999999995,10310.145999999999,35623.12,18749.893,88106.61799999999,26702.145999999997,9258.876,4030.866
2003-08-31,25105.456,10641.771,35546.960999999996,15910.628,87204.81599999999,26727.123000000003,9237.208999999999,4163.4130000000005
2003-09-30,23134.015000000007,12585.06,35115.23,15573.54,86407.845,25616.243000000002,8924.448,4552.168
2003-10-31,19026.747000000003,11613.092999999999,35254.417,15763.818000000001,81658.07500000001,26708.78,9310.118,4799.474
2003-11-30,19197.88,11015.231,33471.005000000005,15146.217,78830.333,27394.548000000003,10250.348,5102.0689999999995
2003-12-31,21572.845,10805.312000000002,34765.231,13938.528999999999,81081.917,25923.681,8760.492,5379.237
2004-01-31,20325.434999999998,12873.89,35555.038,13940.557,82694.92,28564.613999999998,10261.687,5059.351
2004-02-29,23926.925999999996,13748.486,35021.719000000005,14098.483,86795.614,28212.084000000003,9245.591,5026.742
2004-03-31,27507.034,14053.199,36632.241,13931.022,92123.49600000001,28282.816,11284.112000000001,5170.9439999999995
2004-04-30,26947.732999999993,16494.851000000002,36361.431,13512.604000000003,93316.61899999999,28264.701999999997,11763.387999999999,4674.353000000001
2004-05-31,22879.27,14796.309,36441.194,14270.662,88387.43500000001,26900.833,9077.901000000002,4780.997
2004-06-30,21869.39,15853.755,38045.947,13556.953,89326.04500000001,27474.694999999996,9499.707,4670.234
2004-07-31,20103.476000000002,14444.911,36825.426999999996,14118.181,85491.995,25918.217999999997,8851.012,4640.601
2004-08-31,21437.907000000003,15515.321,37280.768000000004,13803.259000000002,88037.255,32367.39,9271.731,7071.446000000001
2004-09-30,24389.042999999998,13796.502999999999,38351.787,13471.081,90008.41399999999,29127.299000000003,8917.423,10055.807
2004-10-31,22148.553,14584.248,42713.174,13642.521999999999,93088.497,25799.98,12561.562,11662.395
2004-11-30,24966.025,15001.077,40857.148,12937.952,93762.20199999999,31049.786,8880.56,5110.679
2004-12-31,25220.553,17084.155,38919.695999999996,11573.839,92798.24299999999,29976.720999999998,9674.257000000001,6096.691000000001
2005-01-31,24461.973,17198.207,35962.75,11735.359,89358.289,31916.062,8988.051,5339.105
2005-02-28,24348.888000000006,17891.841,38583.487,11310.91,92135.12600000002,34916.359,6462.972,5109.353
2005-03-31,20428.77800000001,19057.35,40070.876,10872.953,90429.95700000001,32667.447,7224.718,4387.089
2005-04-30,26821.221999999994,18443.252999999997,36125.669,10688.194,92078.33799999999,30219.215,7479.1089999999995,6706.827
2005-05-31,22924.358999999997,17302.23,37097.19,12248.363,89572.14199999999,28387.828000000005,7813.576999999999,6694.323
2005-06-30,19126.155,16393.301,36179.78599999999,11182.214,82881.45599999999,28038.482000000004,9408.27,9427.485
2005-07-31,23606.958000000002,15889.725999999999,38749.96,11141.23,89387.87400000001,27971.24,11491.548999999999,9604.832999999999
2005-08-31,22905.96,14508.091,37624.257,11206.78,86245.08799999999,30360.592,10448.894,10655.174
2005-09-30,26751.242999999995,15033.803,37846.18,10544.929,90176.155,35560.049,11353.949,10890.98
2005-10-31,20315.102000000006,15085.612000000001,37710.638,10437.701000000001,83549.05300000001,36763.64599999999,9763.541000000001,13321.877
2005-11-30,21523.967000000004,9714.797,38442.117,11062.695,80743.576,34442.59,6063.668,12284.064999999999
2005-12-31,26850.424,17333.028,38281.519,8964.869,91429.84,31567.962,18053.383,15418.381000000001
2006-01-31,26453.828,14251.779999999999,38452.897,9351.345000000001,88509.85,38775.935999999994,13656.76,12682.671999999999
2006-02-28,25109.472,16300.123,39647.943999999996,9043.460000000001,90100.999,36059.361,13791.793999999998,14752.754
2006-03-31,31592.493000000002,16043.154000000002,39674.48,8807.385,96117.512,30180.745000000003,15483.533,16391.798
2006-04-30,40986.683,18097.042,41338.475,8736.682,109158.882,27567.967999999997,22667.749000000003,18932.349000000002
2006-05-31,38541.958999999995,18799.561,43442.223,8652.204,109435.94699999999,27422.572999999997,20385.691,21220.462
2006-06-30,50848.46699999999,18034.136,44804.56,7491.458999999999,121178.62199999999,22972.292999999998,13714.068,21565.359000000004
2006-07-31,49595.846000000005,19632.682,45197.226,9457.734,123883.48800000001,22875.963999999996,9380.33,23935.527
2006-08-31,56782.76100000001,17324.253,47018.888999999996,9125.814,130251.717,21039.061,8886.996,23857.945000000003
2006-09-30,57893.129,16675.131999999998,47240.533,9304.442,131113.236,17983.371,12677.885,24209.402000000002
2006-10-31,47014.348,18900.381999999998,47573.369999999995,8784.882,122272.98199999999,22601.236,13065.438999999998,26428.354
2006-11-30,52090.134999999995,17393.819,48736.306,8802.659,127022.919,18625.958,10428.270999999999,28072.768
2006-12-31,51393.92600000001,17961.568,52334.16499999999,8106.1669999999995,129795.826,22158.214,8789.053,28251.272
2007-01-31,63061.367,18322.403000000002,54014.189,8008.869999999999,143406.829,17096.64,11433.1,28056.888
2007-02-28,56411.477000000006,17154.836000000003,64375.116999999984,7004.036999999998,144945.467,24946.238,12686.155999999999,26047.375
2007-03-31,53208.423999999985,15783.736,66629.079,6904.132000000001,142525.371,27594.294000000005,12534.66,23924.907000000003
2007-04-30,55987.618,18404.978,67546.999,7632.817000000001,149572.412,29199.561,13048.525,24216.679
2007-05-31,49501.191999999995,17739.015,64291.435,7792.9890000000005,139324.631,32912.223999999995,10756.313999999998,23851.905
2007-06-30,58948.16699999999,16999.689,69942.77299999999,8621.877,154512.50599999996,31852.813,8490.499,24531.777
2007-07-31,55491.16,18345.453999999998,69751.54699999999,8423.298,152011.459,36085.899,9910.156,25610.992
2007-08-31,69805.462,18037.376,69091.985,10206.705,167141.528,35158.716,9332.443,24756.159
2007-09-30,56482.021,23339.692000000003,70793.46100000001,11804.035,162419.209,45713.780999999995,12390.776,25439.593
2007-10-31,55261.364,25734.458,72240.47,12087.103,165323.39500000002,60517.789,13585.686,27965.789999999997
2007-11-30,49740.737,22150.536,74940.011,14386.480999999998,161217.76499999998,66752.91500000001,14307.007000000001,29098.547
2007-12-31,28859.015999999996,22546.894,81484.72700000001,14821.438,147712.075,64239.6,14417.788,26555.305000000004
2008-01-31,23477.780999999995,23639.782,84378.271,16515.658000000003,148011.49199999997,76271.897,17017.879,34486.812
2008-02-29,19346.729000000007,22123.303,78615.159,15910.647,135995.83800000002,76554.685,19233.691,33349.616
2008-03-31,28694.239,21909.165,73264.469,16783.754,140651.62699999998,82869.117,21188.639,33966.247
2008-04-30,24710.215,27243.329999999998,76959.717,17039.381999999998,145952.644,80227.544,22782.885000000002,34326.835999999996
2008-05-31,29868.789999999997,29629.101,75240.11799999999,17175.195,151913.204,81911.584,21655.857,34685.411
2008-06-30,32308.746,27745.273999999998,76110.877,16943.206,153108.103,71484.63699999999,21648.193000000003,41428.503
2008-07-31,33108.008,28781.545000000002,73161.744,16855.242,151906.53900000002,85506.533,22133.547,32203.665999999997
2008-08-31,33176.376000000004,28448.538,70038.14800000002,16982.471,148645.53300000002,76110.901,24781.097,32440.508
2008-09-30,27287.199999999997,29912.089999999997,67066.159,17879.203,142144.652,77995.182,28816.783000000003,35288.143000000004
2008-10-31,41009.639,31969.173000000003,68611.977,19928.244,161519.033,59560.87100000001,27689.076,35795.576
2008-11-30,36853.336,33681.688,71143.49,19957.215,161635.72900000002,53866.194,29585.352,38421.591
2008-12-31,27231.436,41780.28,64885.792,20088.957000000002,153986.465,45354.524999999994,29446.734,37664.726
2009-01-31,37548.87600000001,37103.809,63177.53,19516.523,157346.738,43774.79,28896.854,35965.76299999999
2009-02-28,46052.82100000001,35405.178,65758.395,17122.587,164338.98100000003,35223.807,25979.561,34067.01
2009-03-31,42601.21699999999,28570.923,71547.322,19040.433999999997,161759.896,35409.487,19379.361,30867.656000000003
2009-04-30,47108.263,26528.451999999997,76125.58799999999,18631.896,168394.199,40157.399,16045.995,28964.025000000005
2009-05-31,51743.34299999999,25485.168,83981.013,18624.194,179833.718,33329.839,20902.856,32104.503999999997
2009-06-30,42031.628000000004,27623.343,90778.42500000002,18439.01,178872.40600000002,30302.813000000002,18134.008,29679.299
2009-07-31,41703.053,31603.107,92223.173,19597.821,185127.15399999998,36036.369,21553.108,32411.439
2009-08-31,36304.308999999994,33018.038,94597.133,20254.446,184173.92599999998,37237.885,24124.504,33007.794
2009-09-30,34665.59300000001,32964.754,100931.56100000002,18928.415999999997,187490.32400000002,40253.719,26175.417,31867.79
2009-10-31,35873.594999999994,33049.687,104105.62400000001,18473.992,191502.89800000002,38367.471000000005,25634.372,30326.386000000002
2009-11-30,37990.242,36835.668000000005,110476.456,18435.398,203737.76400000002,44932.645000000004,28585.762000000002,34884.947
2009-12-31,41200.628000000004,39433.994,112336.879,17946.826,210918.327,41761.42799999999,25311.466999999997,32610.058999999997
2010-01-31,34516.327999999994,26571.787,108335.94,18498.622,187922.677,52263.278,20818.636,29835.688000000002
2010-02-28,35829.80200000001,37173.882,112648.424,18575.431,204227.53900000002,52673.262,20116.313000000002,35576.79499999999
2010-03-31,33173.65299999999,36920.787,118319.06899999999,18562.832,206976.34099999996,53171.688,20954.351000000002,31308.319000000003
2010-04-30,38325.45499999999,36912.45,119611.473,21032.327999999998,215881.70599999998,60429.723000000005,20676.293,34183.25000000001
2010-05-31,38614.08699999999,39573.673,111018.274,18934.671000000002,208140.705,49699.846999999994,23529.862,29969.591999999993
2010-06-30,43817.43999999999,41706.955,111137.802,15986.837,212649.03399999999,46457.42599999999,23846.281,25888.206000000002
2010-07-31,39223.37899999999,37950.525,108838.799,16227.335,202240.03799999997,39719.576,18293.019,26775.428000000004
2010-08-31,32718.129,35632.315,111147.429,17316.573,196814.44600000003,48978.379,16957.532,28184.909000000003
